PlayerID,position,year,rush_att,rush_yards,pass_comp,pass_att,pass_yards,Receptions,rec_yards,pass_td,rec_td,rush_td,Targets
17017,TE,2025,0,0,0,0,0,59,655,0,4,0,84
18535,TE,2025,0,0,0,0,0,34,310,0,1,0,49
12858,TE,2025,0,0,0,0,0,2,18,0,0,0,3
16418,TE,2025,0,0,0,0,0,27,301,0,2,0,40
12389,TE,2025,0,0,0,0,0,0,4,0,0,0,0
19681,TE,2025,0,0,0,0,0,7,70,0,0,0,9
14541,TE,2025,0,0,0,0,0,12,134,0,1,0,17
15371,TE,2025,0,0,0,0,0,14,140,0,1,0,21
19346,TE,2025,0,0,0,0,0,10,110,0,0,0,15
10949,TE,2025,0,0,0,0,0,0,0,0,0,0,0
19360,TE,2025,0,0,0,0,0,1,15,0,0,0,2
10215,TE,2025,0,0,0,0,0,25,285,0,2,0,36
18534,TE,2025,5,23,0,0,0,79,877,0,5,0,119
16889,TE,2025,0,0,0,0,0,41,428,0,2,0,57
17130,TE,2025,0,0,0,0,0,3,29,0,0,0,4
16866,TE,2025,0,0,0,0,0,2,23,0,0,0,3
14608,TE,2025,0,0,0,0,0,5,52,0,0,0,7
15821,TE,2025,0,0,0,0,0,0,0,0,0,0,0
15681,TE,2025,0,0,0,0,0,21,191,0,1,0,28
15339,TE,2025,0,0,0,0,0,0,0,0,0,0,0
18536,TE,2025,0,0,0,0,0,1,14,0,0,0,2
15701,TE,2025,0,0,0,0,0,1,13,0,0,0,2
9455,WR,2025,0,0,0,0,0,66,841,0,8,0,111
16895,WR,2025,4,34,0,0,0,57,810,0,6,0,100
12205,WR,2025,0,0,0,0,0,0,0,0,0,0,0
14386,WR,2025,0,4,0,0,0,34,439,0,2,0,55
19631,WR,2025,0,0,0,0,0,11,160,0,1,0,21
8627,WR,2025,0,0,0,0,0,36,395,0,2,0,56
19324,WR,2025,0,0,0,0,0,7,78,0,0,0,11
15229,WR,2025,1,4,0,0,0,17,249,0,1,0,31
15874,WR,2025,1,8,0,0,0,15,195,0,1,0,27
16026,WR,2025,0,2,0,0,0,7,84,0,0,0,14
18552,WR,2025,0,0,0,0,0,18,286,0,1,0,35
15210,WR,2025,0,0,0,0,0,29,427,0,3,0,53
18457,WR,2025,0,3,0,0,0,31,375,0,2,0,49
9255,WR,2025,0,0,0,0,0,0,0,0,0,0,0
19309,WR,2025,0,3,0,0,0,34,429,0,2,0,56
15803,WR,2025,0,0,0,0,0,0,0,0,0,0,0
16843,WR,2025,0,0,0,0,0,0,0,0,0,0,0
19251,WR,2025,0,4,0,0,0,25,312,0,2,0,43
19432,WR,2025,0,0,0,0,0,0,0,0,0,0,0
19263,WR,2025,2,10,0,0,0,40,524,0,3,0,65
17040,WR,2025,0,0,0,0,0,0,7,0,0,0,1
18502,WR,2025,2,12,0,0,0,11,168,0,0,0,23
19326,WR,2025,0,0,0,0,0,0,0,0,0,0,0
19298,WR,2025,2,10,0,0,0,44,645,0,3,0,80
11847,WR,2025,0,0,0,0,0,35,451,0,3,0,54
16795,WR,2025,0,0,0,0,0,20,301,0,2,0,34
19262,WR,2025,0,0,0,0,0,37,431,0,2,0,58
19239,WR,2025,2,11,0,0,0,25,324,0,2,0,46
18561,WR,2025,0,0,0,0,0,0,0,0,0,0,0
17185,WR,2025,0,0,0,0,0,2,24,0,0,0,3
13432,WR,2025,0,3,0,0,0,77,1162,0,9,0,126
19336,WR,2025,0,0,0,0,0,8,100,0,0,0,14
15274,WR,2025,1,5,0,0,0,2,25,0,0,0,3
13502,WR,2025,0,0,0,0,0,19,246,0,2,0,32
